Restaurant Name,Location,Rating,Votes,Cost for Two,Online Order,Book Table,Restaurant Type,Service Type,Chain Name
Bell and Sons,JP Nagar,3.7,22305,5030,Yes,No,Cafe,Buffet,Empire
"Stein, Huang and Delgado",HSR,2.2,81099,3547,No,Yes,Casual Dining,Delivery,TBC Sky Lounge
Cantrell and Sons,Indiranagar,3.1,105988,1694,Yes,No,Cafe,Cafes,Nagarjuna
"Miller, Price and Johnston",Jayanagar,3.0,19548,2914,Yes,Yes,Delivery,Buffet,The Fatty Bao
Garcia-Wiggins,Jayanagar,2.4,19362,306,No,No,Cafe,Delivery,The Black Pearl
Hammond and Sons,JP Nagar,5.0,425,3861,No,Yes,Delivery,Desserts,Nagarjuna
"Obrien, Smith and Mckinney",Koramangala,4.2,123069,543,Yes,No,Dessert Parlor,Dine-out,The Fatty Bao
Yoder-Cook,Jayanagar,3.4,77133,4738,Yes,No,Dessert Parlor,Desserts,Nagarjuna
Dillon and Sons,Church Street,2.9,101830,5171,No,Yes,Dessert Parlor,Dine-out,Empire
Wyatt Group,Jayanagar,3.5,136335,5404,Yes,No,Dessert Parlor,Buffet,Nagarjuna
Morris PLC,Whitefield,2.8,97264,5044,No,Yes,Cafe,Buffet,The Black Pearl
Ochoa Inc,Church Street,3.1,98852,391,Yes,Yes,Casual Dining,Delivery,Biergarten
Williams LLC,Jayanagar,4.6,93990,3923,Yes,No,Casual Dining,Cafes,The Black Pearl
"Lopez, Williams and Hunter",MG Road,4.5,149861,3219,Yes,Yes,Delivery,Cafes,Brew and Barbeque
"Dixon, Rivers and Heath",MG Road,2.6,30884,3972,No,No,Cafe,Delivery,Biergarten
Lyons-Blackburn,Marathahalli,2.5,48474,811,Yes,Yes,Cafe,Delivery,Nagarjuna
Mccarty LLC,Church Street,2.9,36125,3769,No,Yes,Quick Bites,Dine-out,Nagarjuna
Pruitt PLC,Marathahalli,2.7,19526,3880,Yes,No,Cafe,Cafes,Biergarten
Sellers-Roach,Whitefield,4.4,90872,5778,No,No,Delivery,Delivery,Brew and Barbeque
Good Group,Jayanagar,4.2,33149,223,Yes,Yes,Cafe,Buffet,Toit
"Ortiz, Sullivan and Bowen",Church Street,1.6,13059,719,No,Yes,Cafe,Buffet,Windmills Craftworks
"Norton, Wagner and Berry",Indiranagar,3.1,55393,1314,No,No,Quick Bites,Desserts,Biergarten
Wilson Group,MG Road,3.6,73409,241,Yes,Yes,Delivery,Desserts,Empire
Page and Sons,HSR,2.1,68643,3907,Yes,Yes,Quick Bites,Buffet,The Black Pearl
King Inc,Jayanagar,4.8,142156,3256,Yes,No,Casual Dining,Delivery,Brew and Barbeque
Walsh-Williams,MG Road,3.7,15476,949,Yes,No,Casual Dining,Desserts,Biergarten
Price LLC,Marathahalli,4.6,28638,5581,Yes,No,Quick Bites,Buffet,The Black Pearl
"Coleman, Robinson and Velasquez",Indiranagar,4.1,59624,3809,Yes,Yes,Quick Bites,Delivery,Toit
Conley PLC,Marathahalli,1.7,112781,5063,No,Yes,Casual Dining,Buffet,Windmills Craftworks
Nelson LLC,Whitefield,4.6,81866,4802,No,No,Quick Bites,Dine-out,Nagarjuna
Dawson LLC,MG Road,3.1,145587,4894,Yes,No,Cafe,Dine-out,Nagarjuna
West-Morris,Koramangala,2.5,123798,1146,No,Yes,Dessert Parlor,Desserts,Biergarten
Cunningham PLC,Marathahalli,2.2,81498,4610,Yes,Yes,Casual Dining,Delivery,Windmills Craftworks
Davis PLC,BTM,1.7,92230,4799,No,Yes,Quick Bites,Delivery,Truffles
"Mcclure, May and Durham",Koramangala,2.2,94366,3786,No,Yes,Cafe,Dine-out,The Fatty Bao
Morgan and Sons,MG Road,1.7,71577,4670,No,Yes,Delivery,Buffet,TBC Sky Lounge
Cruz and Sons,Church Street,3.4,65905,2654,Yes,No,Quick Bites,Cafes,TBC Sky Lounge
Young-Barrett,Jayanagar,4.7,78106,3525,Yes,Yes,Cafe,Cafes,Toit
"Hutchinson, Ramos and Scott",Marathahalli,4.4,72545,5972,Yes,No,Cafe,Buffet,Nagarjuna
Smith-Scott,BTM,2.7,95488,3452,Yes,Yes,Dessert Parlor,Dine-out,Toit
Gonzalez Ltd,Church Street,1.6,87384,2858,Yes,Yes,Delivery,Cafes,Toit
Burke and Sons,Church Street,1.9,61239,1016,Yes,Yes,Delivery,Desserts,The Fatty Bao
Anderson-Rodriguez,Whitefield,3.6,5016,1365,No,No,Delivery,Buffet,Toit
Ramirez Inc,HSR,2.1,6247,3526,No,Yes,Cafe,Cafes,The Black Pearl
"Perry, Trujillo and Meadows",HSR,5.0,21687,5662,Yes,Yes,Delivery,Cafes,Nagarjuna
Anderson-Hernandez,BTM,4.6,15613,286,Yes,No,Casual Dining,Delivery,Brew and Barbeque
"Hanson, Duarte and Mitchell",Whitefield,2.7,48006,3042,No,No,Dessert Parlor,Cafes,Toit
Moses Group,Marathahalli,2.5,129066,1018,No,Yes,Quick Bites,Buffet,Nagarjuna
"Hughes, Walker and Moore",MG Road,1.7,92773,5032,No,Yes,Quick Bites,Delivery,Toit
"Haley, Jensen and Thomas",Indiranagar,4.9,75467,5750,Yes,No,Casual Dining,Dine-out,Nagarjuna
"Blackwell, Ferguson and Drake",Whitefield,1.5,91291,1232,Yes,Yes,Delivery,Delivery,Empire
"Glass, Malone and Parks",Church Street,3.9,74514,727,Yes,No,Dessert Parlor,Delivery,TBC Sky Lounge
Li-Tate,BTM,4.6,45691,4668,No,No,Quick Bites,Cafes,Nagarjuna
"Wagner, Williams and Cooper",BTM,2.0,94734,3377,Yes,Yes,Casual Dining,Buffet,Truffles
"Gutierrez, Jenkins and Huff",Church Street,4.8,3430,5476,Yes,No,Dessert Parlor,Buffet,Empire
Gray Ltd,Indiranagar,1.8,101422,3798,No,No,Casual Dining,Dine-out,Truffles
Reyes Inc,MG Road,2.4,32858,1984,Yes,No,Cafe,Desserts,Brew and Barbeque
Potter Group,JP Nagar,1.6,102935,4220,No,No,Quick Bites,Cafes,Brew and Barbeque
"Thomas, Davis and Johnson",Indiranagar,2.3,91220,290,Yes,No,Quick Bites,Buffet,Brew and Barbeque
Knight-Anderson,Koramangala,2.0,102551,1704,No,Yes,Delivery,Desserts,Windmills Craftworks
"Underwood, Norris and Sherman",HSR,3.5,48970,5618,Yes,Yes,Quick Bites,Cafes,Brew and Barbeque
Jackson Ltd,Whitefield,1.7,8385,4880,Yes,No,Casual Dining,Cafes,TBC Sky Lounge
King-Meyer,Indiranagar,3.7,141833,4752,No,No,Quick Bites,Delivery,Biergarten
Holmes Ltd,Whitefield,1.8,102923,3837,Yes,Yes,Dessert Parlor,Delivery,Windmills Craftworks
King-Love,BTM,4.9,119688,2936,No,No,Dessert Parlor,Dine-out,The Black Pearl
Howard-Garcia,HSR,3.6,111027,2753,Yes,No,Casual Dining,Dine-out,TBC Sky Lounge
Tucker Inc,Jayanagar,3.8,46981,269,Yes,No,Cafe,Cafes,Empire
Adams Inc,HSR,1.8,121105,3995,Yes,Yes,Casual Dining,Buffet,The Black Pearl
Johns-Smith,Whitefield,4.3,42504,2048,Yes,Yes,Quick Bites,Buffet,Biergarten
Dawson-Choi,Whitefield,3.8,44814,753,No,Yes,Dessert Parlor,Desserts,Truffles
"Wilkerson, Berry and Roberts",Indiranagar,3.9,148263,973,No,Yes,Casual Dining,Desserts,The Fatty Bao
Hoffman Group,JP Nagar,3.4,87124,4707,Yes,No,Dessert Parlor,Buffet,Truffles
Brooks PLC,HSR,4.0,24703,3327,Yes,Yes,Cafe,Dine-out,Truffles
Huang-Mayer,MG Road,4.2,56619,750,No,Yes,Dessert Parlor,Desserts,Truffles
Lopez LLC,HSR,4.3,72390,2917,No,Yes,Casual Dining,Desserts,Biergarten
"Sawyer, Chandler and Burton",HSR,4.0,124992,1531,Yes,Yes,Quick Bites,Desserts,TBC Sky Lounge
"Adams, Carter and Hudson",Church Street,2.5,33423,5322,Yes,Yes,Quick Bites,Delivery,Windmills Craftworks
"Peters, James and Hines",Whitefield,2.5,127746,2483,Yes,Yes,Dessert Parlor,Delivery,The Black Pearl
"Bond, Davis and Graves",Jayanagar,4.9,94356,4929,Yes,Yes,Quick Bites,Delivery,Biergarten
"Rojas, Harrison and Nelson",Indiranagar,3.7,13302,2469,Yes,Yes,Quick Bites,Dine-out,Truffles
Walker-Choi,Marathahalli,2.8,33352,5897,Yes,Yes,Cafe,Dine-out,Toit
"Krause, Smith and Brandt",HSR,3.3,109567,2948,Yes,No,Cafe,Buffet,TBC Sky Lounge
Smith Ltd,Indiranagar,3.9,15067,3021,Yes,No,Delivery,Buffet,Brew and Barbeque
Crosby-Sweeney,Jayanagar,4.7,25163,5206,Yes,Yes,Casual Dining,Delivery,Biergarten
Gibson and Sons,Church Street,1.8,19415,4047,No,No,Dessert Parlor,Delivery,Biergarten
Mejia-Cruz,Church Street,4.1,139178,1987,Yes,Yes,Cafe,Dine-out,Empire
Thompson Group,Koramangala,1.7,101485,3410,Yes,Yes,Dessert Parlor,Delivery,TBC Sky Lounge
"Scott, Lewis and Lee",Whitefield,3.0,3677,4304,Yes,No,Delivery,Desserts,Brew and Barbeque
Parker and Sons,Jayanagar,4.4,103099,3972,Yes,No,Quick Bites,Buffet,Biergarten
Shaw-Castro,Whitefield,3.5,103220,3165,No,Yes,Cafe,Desserts,Windmills Craftworks
Wilson-Brown,Koramangala,2.6,9493,3812,No,No,Quick Bites,Cafes,Nagarjuna
Garcia and Sons,JP Nagar,4.0,148790,3614,No,Yes,Cafe,Desserts,The Fatty Bao
Diaz Ltd,HSR,3.1,33951,1583,No,Yes,Delivery,Delivery,The Black Pearl
"Fisher, Rogers and Ruiz",Koramangala,4.9,67047,1973,No,Yes,Cafe,Desserts,Brew and Barbeque
"Wilson, May and Chan",Koramangala,3.9,26594,5763,Yes,No,Dessert Parlor,Desserts,The Black Pearl
Dunn Group,Church Street,4.8,38681,5438,Yes,No,Casual Dining,Desserts,Nagarjuna
Middleton and Sons,Jayanagar,2.4,52704,4785,No,Yes,Quick Bites,Cafes,Truffles
Gallegos Inc,HSR,4.6,15110,3187,Yes,Yes,Quick Bites,Cafes,TBC Sky Lounge
"Craig, Harrison and Terrell",Indiranagar,4.3,63156,835,Yes,No,Dessert Parlor,Buffet,The Fatty Bao
"Herrera, Rodriguez and Marsh",Indiranagar,2.8,70022,3229,No,No,Dessert Parlor,Cafes,Truffles
Davis-Rogers,BTM,4.3,105228,5007,No,No,Quick Bites,Cafes,TBC Sky Lounge
"Melton, Conway and Wilson",Jayanagar,2.8,123791,2418,No,No,Dessert Parlor,Desserts,The Fatty Bao
Aguirre and Sons,Whitefield,3.0,73503,1236,Yes,Yes,Cafe,Cafes,Brew and Barbeque
Sanford Ltd,Indiranagar,3.4,2086,4891,No,No,Dessert Parlor,Delivery,Brew and Barbeque
Cox Group,HSR,4.2,37390,2846,No,No,Delivery,Cafes,Truffles
"Reynolds, Spears and Larson",HSR,1.9,62801,310,No,No,Quick Bites,Dine-out,Brew and Barbeque
"Allen, Dudley and Scott",Church Street,5.0,69660,1687,No,Yes,Cafe,Delivery,Windmills Craftworks
"Orozco, Richard and Flynn",MG Road,3.5,64972,1489,No,Yes,Cafe,Cafes,Windmills Craftworks
Morris Inc,JP Nagar,4.0,14647,3909,No,Yes,Delivery,Dine-out,The Black Pearl
Brown PLC,Indiranagar,1.6,31986,4260,No,Yes,Quick Bites,Delivery,The Black Pearl
Gonzalez Inc,BTM,4.1,117092,956,No,No,Quick Bites,Dine-out,Brew and Barbeque
"Rodgers, George and Swanson",Koramangala,4.1,46204,3746,No,No,Cafe,Buffet,Toit
"Davis, Johnson and Green",Whitefield,3.2,42896,5509,Yes,No,Cafe,Dine-out,TBC Sky Lounge
Schroeder Group,Marathahalli,3.1,34627,4929,No,No,Cafe,Buffet,TBC Sky Lounge
"Mclaughlin, Kelly and Jensen",JP Nagar,3.1,29232,2482,Yes,Yes,Cafe,Dine-out,Truffles
Wiley Inc,MG Road,1.7,96344,2866,Yes,Yes,Casual Dining,Dine-out,Truffles
"Thomas, Turner and Ramirez",HSR,4.1,17236,2732,Yes,No,Delivery,Dine-out,The Black Pearl
Chavez LLC,Jayanagar,1.6,78947,2057,Yes,Yes,Delivery,Desserts,The Black Pearl
Lynch PLC,Marathahalli,5.0,9206,1825,Yes,Yes,Delivery,Desserts,Brew and Barbeque
"Sanders, Evans and Larson",BTM,4.0,135826,3401,Yes,Yes,Dessert Parlor,Dine-out,Nagarjuna
Ray LLC,Marathahalli,4.2,90179,1247,No,No,Quick Bites,Dine-out,Biergarten
Flowers-Gonzalez,HSR,2.0,116059,2058,Yes,Yes,Casual Dining,Cafes,Brew and Barbeque
Rodriguez-Lopez,Marathahalli,3.9,58221,3100,Yes,Yes,Quick Bites,Buffet,The Fatty Bao
"Burke, Contreras and Christian",Whitefield,3.3,9121,4046,No,Yes,Casual Dining,Desserts,Truffles
Jackson-Tucker,Indiranagar,3.3,102007,5173,No,Yes,Dessert Parlor,Dine-out,TBC Sky Lounge
Cruz Group,Jayanagar,1.6,3721,4225,Yes,Yes,Delivery,Delivery,Brew and Barbeque
Franco and Sons,MG Road,2.3,146358,5752,Yes,Yes,Delivery,Buffet,Windmills Craftworks
Ramos-Bryant,MG Road,4.5,105532,4119,Yes,No,Delivery,Cafes,Biergarten
Massey-Poole,HSR,2.2,56814,5859,Yes,Yes,Quick Bites,Desserts,Toit
Contreras-Hawkins,Whitefield,4.1,76565,2278,Yes,No,Dessert Parlor,Desserts,Biergarten
Schultz LLC,HSR,2.1,92740,3517,Yes,No,Quick Bites,Desserts,Brew and Barbeque
Brewer Inc,JP Nagar,2.8,12936,3391,Yes,No,Quick Bites,Delivery,The Black Pearl
Jackson-Bowers,MG Road,1.7,104033,5800,No,No,Casual Dining,Dine-out,Toit
Welch and Sons,Marathahalli,3.8,60071,4778,No,Yes,Dessert Parlor,Cafes,Biergarten
"Hernandez, Baker and Warner",Indiranagar,4.6,18815,2000,No,Yes,Delivery,Delivery,Empire
Foster Group,Koramangala,3.8,60103,4876,No,No,Delivery,Delivery,Brew and Barbeque
"Smith, Barnett and Bentley",Koramangala,4.3,11815,3161,No,No,Dessert Parlor,Delivery,Biergarten
Vasquez-Cooper,Whitefield,2.8,112238,2392,Yes,Yes,Dessert Parlor,Cafes,Brew and Barbeque
Martinez LLC,Jayanagar,2.5,149320,5692,Yes,No,Dessert Parlor,Dine-out,Nagarjuna
Benson-Johnson,BTM,3.1,130204,3130,Yes,Yes,Delivery,Delivery,Biergarten
"Chang, Bennett and Smith",Indiranagar,2.4,113936,1496,Yes,Yes,Dessert Parlor,Buffet,The Black Pearl
Brown-Martinez,HSR,4.1,23551,1426,No,Yes,Quick Bites,Desserts,TBC Sky Lounge
"Harris, Ryan and Mckay",Jayanagar,4.7,105793,3990,No,No,Casual Dining,Desserts,Empire
"Hughes, Lee and Scott",Marathahalli,2.3,43256,3692,No,No,Quick Bites,Delivery,Nagarjuna
"Rodriguez, King and Cantu",HSR,2.0,102089,5729,Yes,No,Cafe,Desserts,Empire
Sellers and Sons,MG Road,3.7,142798,3643,No,Yes,Quick Bites,Desserts,Windmills Craftworks
Wiley-Lee,JP Nagar,1.9,24047,5360,No,No,Cafe,Dine-out,Toit
Frazier Ltd,MG Road,3.9,87794,1688,Yes,Yes,Quick Bites,Delivery,Biergarten
"Kent, Williams and Franklin",Whitefield,3.6,92277,392,No,No,Delivery,Cafes,Windmills Craftworks
Fleming-Noble,Church Street,3.7,74483,4131,Yes,Yes,Casual Dining,Dine-out,The Fatty Bao
Martin Ltd,MG Road,3.1,80270,2732,No,No,Delivery,Cafes,Nagarjuna
"Hubbard, Smith and Dean",Marathahalli,3.6,81146,929,No,Yes,Delivery,Cafes,The Fatty Bao
Cardenas Group,Indiranagar,2.4,86681,470,Yes,No,Quick Bites,Cafes,Brew and Barbeque
Rodgers-Rodriguez,JP Nagar,3.1,9875,5023,No,No,Dessert Parlor,Buffet,Nagarjuna
"Wheeler, Bailey and Mason",HSR,4.9,115714,847,Yes,No,Quick Bites,Desserts,The Fatty Bao
"Nguyen, Chung and Rhodes",JP Nagar,2.6,12998,5891,No,No,Casual Dining,Dine-out,Brew and Barbeque
Pearson Ltd,BTM,1.9,138688,1519,No,No,Quick Bites,Buffet,Windmills Craftworks
"Nguyen, Jones and Cummings",JP Nagar,5.0,82326,5230,No,No,Dessert Parlor,Buffet,Brew and Barbeque
"Miller, Griffin and Smith",Koramangala,2.9,113944,2231,No,No,Cafe,Cafes,TBC Sky Lounge
"Hughes, Peck and Mccarthy",Koramangala,4.0,19144,2701,Yes,No,Dessert Parlor,Desserts,Nagarjuna
Mckee-Whitney,JP Nagar,4.1,63568,5980,No,No,Dessert Parlor,Buffet,Windmills Craftworks
Moore-Smith,JP Nagar,3.5,70694,3558,No,Yes,Dessert Parlor,Desserts,Biergarten
Rocha-Moore,HSR,2.3,86042,4300,No,Yes,Dessert Parlor,Buffet,TBC Sky Lounge
Weaver Ltd,Church Street,3.8,139779,5463,No,Yes,Quick Bites,Dine-out,The Black Pearl
Roth Inc,Indiranagar,5.0,149696,3849,Yes,Yes,Quick Bites,Delivery,Truffles
"Small, Silva and Perez",Indiranagar,3.2,79009,4448,No,Yes,Cafe,Buffet,Brew and Barbeque
"Moore, Hamilton and Erickson",BTM,3.2,34589,1229,Yes,Yes,Casual Dining,Delivery,Windmills Craftworks
Diaz Ltd,Koramangala,3.5,79803,3325,Yes,Yes,Dessert Parlor,Dine-out,Nagarjuna
"Rivera, Mccormick and Melendez",Indiranagar,4.4,37086,3114,Yes,Yes,Casual Dining,Dine-out,Truffles
"Gordon, Rollins and Wells",BTM,4.5,93395,4531,No,Yes,Cafe,Desserts,Brew and Barbeque
Williams-Stewart,Marathahalli,4.9,145598,3724,Yes,Yes,Casual Dining,Cafes,Brew and Barbeque
"Hester, Morton and Buchanan",MG Road,2.5,68003,5899,No,No,Delivery,Dine-out,The Black Pearl
Ford and Sons,Whitefield,2.3,142102,4711,No,Yes,Quick Bites,Cafes,Biergarten
"Woods, Morgan and Robinson",JP Nagar,4.4,41316,5694,Yes,Yes,Quick Bites,Dine-out,Windmills Craftworks
"Webster, Thompson and Collier",Marathahalli,2.5,69510,3530,Yes,Yes,Casual Dining,Cafes,TBC Sky Lounge
King Group,Marathahalli,4.0,108979,4332,No,Yes,Casual Dining,Desserts,Brew and Barbeque
Tanner PLC,HSR,3.5,73562,3324,Yes,Yes,Casual Dining,Buffet,Truffles
"Morgan, Velazquez and Dickerson",Koramangala,1.7,69083,1742,Yes,No,Quick Bites,Cafes,Toit
"Rivera, Frank and Chang",HSR,2.3,96115,584,Yes,Yes,Dessert Parlor,Desserts,Windmills Craftworks
Carter Inc,Jayanagar,2.9,47503,3873,No,Yes,Quick Bites,Dine-out,Biergarten
Dunlap-Martinez,MG Road,5.0,61292,276,Yes,Yes,Quick Bites,Cafes,The Fatty Bao
"Hamilton, Carr and Santana",Church Street,5.0,56508,1874,Yes,Yes,Casual Dining,Dine-out,TBC Sky Lounge
Lester PLC,Koramangala,2.9,115608,754,Yes,No,Delivery,Cafes,Toit
Lyons-Pearson,Marathahalli,4.5,37232,4118,No,No,Quick Bites,Delivery,Biergarten
"Lewis, Jones and Warren",Koramangala,3.7,55219,659,Yes,Yes,Quick Bites,Desserts,Empire
"Williams, Brown and Schroeder",Koramangala,4.4,44738,2125,Yes,Yes,Cafe,Dine-out,Toit
"Kennedy, Patton and Carr",HSR,3.4,120190,757,Yes,Yes,Delivery,Dine-out,Biergarten
"Avila, Perkins and Rogers",HSR,2.5,97868,679,No,No,Cafe,Desserts,Truffles
Webb and Sons,Whitefield,4.4,124865,5460,No,No,Cafe,Buffet,The Black Pearl
Lewis Ltd,Church Street,4.3,47950,2360,Yes,No,Cafe,Desserts,TBC Sky Lounge
"Smith, Jensen and Tate",MG Road,4.6,115538,1462,No,Yes,Cafe,Desserts,The Black Pearl
Rosario-Young,HSR,2.0,10522,4991,No,No,Delivery,Desserts,Windmills Craftworks
Riley LLC,Koramangala,4.7,38658,2226,No,Yes,Quick Bites,Buffet,Nagarjuna
"Fields, Reid and Blackwell",Whitefield,4.3,26153,1264,Yes,Yes,Casual Dining,Delivery,Empire
Herring Group,Marathahalli,4.9,11010,2130,No,No,Dessert Parlor,Delivery,The Black Pearl
Velasquez Ltd,Marathahalli,4.5,127079,2586,Yes,Yes,Dessert Parlor,Dine-out,Brew and Barbeque
Horton-Reyes,Whitefield,3.6,66022,5888,No,Yes,Dessert Parlor,Cafes,The Black Pearl
"Anderson, Davis and Jackson",Marathahalli,1.9,46017,1364,No,No,Cafe,Dine-out,TBC Sky Lounge
"Hampton, Wright and Palmer",MG Road,3.1,42883,375,No,No,Quick Bites,Dine-out,The Black Pearl
"Mcdonald, Porter and Tran",Jayanagar,2.1,84027,5812,No,No,Quick Bites,Dine-out,Toit
Acevedo-Moore,MG Road,4.4,53056,2574,No,No,Delivery,Delivery,Windmills Craftworks
Benitez and Sons,MG Road,4.4,130844,4366,No,Yes,Cafe,Buffet,Toit
"Peterson, Jones and Cannon",HSR,1.5,98101,5228,No,No,Casual Dining,Desserts,Brew and Barbeque
"White, Callahan and Williams",JP Nagar,4.3,117501,4270,No,Yes,Delivery,Buffet,TBC Sky Lounge
Wright PLC,HSR,4.8,82987,3592,Yes,No,Quick Bites,Buffet,Truffles
Rowe-Montoya,Marathahalli,2.6,44704,1510,No,Yes,Casual Dining,Buffet,The Black Pearl
Rodriguez PLC,Jayanagar,2.7,21955,1361,Yes,Yes,Cafe,Desserts,Biergarten
Hernandez-Smith,HSR,3.6,30687,784,No,No,Quick Bites,Delivery,Biergarten
Sullivan LLC,Church Street,2.6,105450,2105,No,Yes,Delivery,Dine-out,The Fatty Bao
Nelson PLC,HSR,4.4,77777,5640,Yes,Yes,Delivery,Buffet,The Black Pearl
Tapia-Barker,BTM,3.8,134849,421,No,Yes,Quick Bites,Dine-out,The Black Pearl
Rogers Group,JP Nagar,3.8,10613,557,No,Yes,Quick Bites,Delivery,The Black Pearl
Reilly-Henry,HSR,4.5,24746,1616,Yes,No,Cafe,Desserts,The Black Pearl
Hartman Group,BTM,3.4,114158,4651,No,No,Delivery,Cafes,Toit
Berg Ltd,Whitefield,4.2,28776,4548,No,No,Dessert Parlor,Desserts,Toit
"Robertson, Olson and Cunningham",Jayanagar,2.6,80119,1294,Yes,Yes,Delivery,Dine-out,Nagarjuna
"Wagner, Mueller and Macias",MG Road,4.7,130512,3822,No,Yes,Cafe,Desserts,Brew and Barbeque
Mullen PLC,Jayanagar,3.7,73874,3471,No,Yes,Dessert Parlor,Buffet,Biergarten
Miller and Sons,JP Nagar,2.5,47272,1115,Yes,No,Quick Bites,Dine-out,The Black Pearl
Valdez Inc,JP Nagar,2.1,80131,5853,Yes,Yes,Cafe,Dine-out,Nagarjuna
"Stewart, Larson and Parker",Koramangala,3.4,29571,2505,No,Yes,Casual Dining,Buffet,Nagarjuna
Burton and Sons,Marathahalli,2.0,106506,5017,No,Yes,Quick Bites,Desserts,TBC Sky Lounge
Gutierrez and Sons,Whitefield,4.1,5227,667,Yes,No,Delivery,Buffet,Toit
Bell LLC,HSR,4.0,16364,244,No,Yes,Quick Bites,Desserts,Brew and Barbeque
"Bowen, Richardson and Davenport",JP Nagar,3.4,49437,989,Yes,No,Casual Dining,Cafes,Biergarten
Hall-Solis,Koramangala,2.4,138804,2124,Yes,No,Dessert Parlor,Dine-out,The Fatty Bao
Watkins-Bird,Church Street,2.1,148004,5209,Yes,Yes,Delivery,Buffet,Empire
Garcia PLC,Jayanagar,2.1,119911,3772,Yes,Yes,Quick Bites,Desserts,TBC Sky Lounge
Lewis Group,MG Road,3.6,101030,5714,Yes,Yes,Delivery,Buffet,The Black Pearl
Schultz PLC,MG Road,2.7,29906,5370,No,Yes,Delivery,Buffet,The Black Pearl
Villegas-Wood,JP Nagar,3.0,79886,1090,Yes,Yes,Quick Bites,Dine-out,Empire
"Hartman, Burke and Vang",HSR,2.2,59152,5187,Yes,Yes,Dessert Parlor,Desserts,TBC Sky Lounge
Duke LLC,BTM,4.6,120881,5115,Yes,No,Cafe,Delivery,The Fatty Bao
"Bennett, Murray and Davis",Marathahalli,3.2,24906,5530,Yes,No,Cafe,Desserts,Biergarten
Robinson-Anderson,Indiranagar,3.7,141102,4481,Yes,No,Quick Bites,Delivery,Nagarjuna
Harris PLC,HSR,3.1,116557,3556,Yes,No,Dessert Parlor,Delivery,Brew and Barbeque
Turner-Garcia,Church Street,3.0,139795,5469,Yes,No,Cafe,Buffet,Biergarten
"Harding, Williams and Ellis",Indiranagar,5.0,39508,5946,No,No,Cafe,Buffet,Empire
"Hall, Davis and Tanner",Jayanagar,4.2,92783,4908,Yes,Yes,Cafe,Buffet,TBC Sky Lounge
"Kennedy, Francis and Duncan",Koramangala,3.7,148253,1531,No,No,Quick Bites,Desserts,Windmills Craftworks
"Rogers, Soto and Perez",Jayanagar,3.7,2377,3840,No,Yes,Dessert Parlor,Desserts,Toit
"Wright, Salinas and Hill",Marathahalli,2.4,124575,1369,No,No,Dessert Parlor,Cafes,The Black Pearl
Davis-Brown,Marathahalli,3.5,103912,4168,Yes,Yes,Dessert Parlor,Desserts,Truffles
"Moore, Reynolds and Mitchell",Koramangala,3.9,130565,2288,No,No,Delivery,Cafes,The Black Pearl
Campbell-Gomez,MG Road,2.2,132148,2676,Yes,No,Delivery,Dine-out,Windmills Craftworks
Brown-Rogers,Marathahalli,3.3,90020,1889,No,Yes,Delivery,Cafes,Nagarjuna
"Huang, Davis and Wilson",MG Road,1.6,76035,2788,Yes,Yes,Dessert Parlor,Buffet,Toit
Wright Group,BTM,4.9,31013,457,Yes,No,Quick Bites,Buffet,Toit
"Foster, Quinn and Black",Jayanagar,2.9,144943,5130,Yes,Yes,Dessert Parlor,Dine-out,Windmills Craftworks
Wallace-Herrera,MG Road,4.4,94006,4460,Yes,Yes,Casual Dining,Desserts,Empire
Bell LLC,Church Street,3.4,10796,2902,No,No,Dessert Parlor,Desserts,TBC Sky Lounge
"Johnson, Miller and Harvey",Church Street,3.6,124194,2345,Yes,No,Delivery,Dine-out,Toit
Bates Inc,HSR,4.7,117208,3235,Yes,Yes,Casual Dining,Dine-out,Toit
Strickland-Little,BTM,4.0,105731,1034,No,Yes,Casual Dining,Cafes,The Fatty Bao
Stevens PLC,Koramangala,1.8,68445,4831,Yes,No,Dessert Parlor,Cafes,The Fatty Bao
Lucas-Stewart,Marathahalli,3.5,131777,4130,Yes,Yes,Dessert Parlor,Buffet,Biergarten
Warner Ltd,Jayanagar,4.6,9163,455,Yes,Yes,Delivery,Cafes,The Black Pearl
Zavala-Jacobs,Indiranagar,2.3,77506,2682,No,Yes,Dessert Parlor,Desserts,Toit
"Watson, Nichols and Clark",Jayanagar,3.2,89910,3656,No,No,Quick Bites,Cafes,Toit
Martin-Rogers,Jayanagar,2.0,33052,1157,No,No,Dessert Parlor,Desserts,The Fatty Bao
Davis LLC,Marathahalli,2.0,111544,1660,Yes,Yes,Casual Dining,Desserts,Toit
"Ferguson, Sullivan and Bradford",BTM,2.3,77315,3801,Yes,No,Delivery,Cafes,Truffles
Harvey PLC,Jayanagar,2.6,75657,5809,No,No,Dessert Parlor,Dine-out,Nagarjuna
"Carlson, Thomas and Jenkins",Jayanagar,2.6,25277,2098,Yes,No,Casual Dining,Buffet,The Black Pearl
"Ramos, Yang and Williams",HSR,2.5,91156,1987,Yes,Yes,Dessert Parlor,Delivery,Toit
"Burch, Rose and Johnson",JP Nagar,2.9,48463,948,Yes,No,Quick Bites,Dine-out,Truffles
Blankenship Ltd,Marathahalli,2.0,70972,4591,Yes,No,Dessert Parlor,Cafes,Brew and Barbeque
